Type de bien,Price,Address,Surface,Nombre de chambres,Nombre de toilettes
Appartement,1080000.0,Tanja Balia,90,2.0,1.0
Appartement,1440000.0,Tanja Balia,120,3.0,2.0
Appartement,245000.0,Mghogha,51,2.0,1.0
Appartement,390000.0,Achakar,100,2.0,1.0
Appartement,330000.0,Tanja Balia,50,2.0,1.0
Appartement,870000.0,Tanja Balia,70,2.0,1.0
Appartement,270000.0,El Mers 2,50,2.0,1.0
Appartement,1350000.0,Benkirane,80,2.0,1.0
Appartement,440000.0,Mesnana,100,2.0,1.0
Appartement,1000000.0,Malabata,200,3.0,2.0
Appartement,690000.0,Moujahidine,79,2.0,1.0
Appartement,1000000.0,Malabata,54,2.0,1.0
Appartement,330000.0,Achakar,55,2.0,1.0
Appartement,630000.0,Val Fleuri,100,2.0,1.0
Appartement,3200000.0,Iberie,220,3.0,2.0
Appartement,750000.0,Mesnana,60,2.0,1.0
Appartement,1050000.0,Moulay Youssef,200,3.0,2.0
Appartement,480000.0,Val Fleuri,49,2.0,1.0
Appartement,850000.0,Mesnana,140,3.0,2.0
Appartement,1270000.0,Val Fleuri,200,3.0,2.0
Appartement,350000.0,El Mers 1,123,3.0,2.0
Appartement,1950000.0,Castilla,200,3.0,2.0
Appartement,2635000.0,Iberie,155,3.0,2.0
Appartement,510000.0,Mesnana,150,3.0,2.0
Appartement,3900000.0,Ahlane,120,3.0,2.0
Appartement,690000.0,Casabarata,100,2.0,1.0
Appartement,460000.0,Moujahidine,150,3.0,2.0
Appartement,570000.0,Mesnana,150,3.0,2.0
Appartement,840000.0,Drissia,200,3.0,2.0
Appartement,1000000.0,Tanja Balia,108,3.0,2.0
Appartement,520000.0,Val Fleuri,100,2.0,1.0
Appartement,800000.0,Mesnana,100,2.0,1.0
Appartement,555000.0,El Mers 1,93,2.0,1.0
Appartement,3500000.0,Ben Dibane,167,3.0,2.0
Appartement,1020000.0,Malabata,85,2.0,1.0
Appartement,1212000.0,Malabata,101,3.0,2.0
Appartement,560000.0,Castilla,200,3.0,2.0
Appartement,900000.0,Ahlane,200,3.0,2.0
Appartement,3000000.0,Malabata,155,3.0,2.0
Appartement,168000.0,Val Fleuri,125,3.0,2.0
Appartement,3500000.0,Castilla,100,2.0,1.0
Appartement,830000.0,Val Fleuri,83,2.0,1.0
Appartement,4000000.0,Malabata,136,3.0,2.0
Appartement,3000000.0,Ahlane,100,2.0,1.0
Appartement,970000.0,Val Fleuri,96,2.0,1.0
Appartement,800000.0,Moujahidine,102,3.0,2.0
