,Surface,Address,Price
221,70,Tanja Balia,560000
222,770,M'nar,962500
223,113,Tanja Balia,1638500
224,338,Tanja Balia,2950000
225,120,Tanja Balia,900000
226,150,Tanja Balia,1200000
227,168,M'nar,252000
228,1019,M'nar,2853200
229,1127,Achakar,2479400
230,1430,Achakar,3570000
231,1000,Achakar,1800000
232,70,Tanja Balia,560000
233,100,Jirrari,700000
234,500,Malabata,3150000
235,150,Tanja Balia,2700000
236,215,Tanja Balia,1290000
237,130,Tanja Balia,1690000
238,70,Tanja Balia,560000
239,75149,Achakar,67634100
240,70,Tanja Balia,560000
241,2000,Tanja Balia,2000000
242,216,Tanja Balia,1050000
243,70,Tanja Balia,560000
244,70,Jirrari,154000
245,409,Achakar,981600
246,124,Jirrari,930000
247,70,Tanja Balia,560000
248,70,M'nar,140000
249,70,Tanja Balia,560000
250,216,Tanja Balia,1050000
251,142,Mghogha,1633000
252,114,Tanja Balia,1368000
253,80,Tanja Balia,120000
254,100,Mghogha,6000000
255,13300,Tanja Balia,3325000
256,70,Tanja Balia,560000
257,502,M'nar,3137500
258,800,M'nar,560000
259,70,Tanja Balia,560000
260,70,Tanja Balia,560000
261,70,Tanja Balia,560000
262,128,Ahlane,1728000
263,70,Tanja Balia,560000
264,216,Tanja Balia,1050000
265,70,Tanja Balia,560000
266,216,Tanja Balia,1050000
267,14000,Tanja Balia,7000000
268,80,Tanja Balia,688000
269,217,Tanja Balia,1050000
270,300,M'nar,285000
271,70,Tanja Balia,560000
272,70,Tanja Balia,560000
273,98,Mesnana,529200
274,532,Malabata,585200
275,100,Achakar,200000
276,100,Mesnana,800000
277,100,Mghogha,600000
278,120,Mesnana,1800000
279,1200,Castilla,38400000
280,100,Tanja Balia,490000
281,91,Mghogha,691600
282,216,Tanja Balia,1050000
283,110,Ahlane,1320000
284,45000,M'nar,2250000
285,1000,Malabata,500000
286,216,Tanja Balia,1050000
287,70,Tanja Balia,560000
288,70,Tanja Balia,560000
289,540,Malabata,3240000
290,110,Tanja Balia,825000
291,1500,M'nar,3300000
292,70,Tanja Balia,560000
293,614,Jbel Kbir,3991000
294,150,Tanja Balia,105000
295,216,Tanja Balia,1050000
296,70,Tanja Balia,560000
297,85,Tanja Balia,760000
298,70,Tanja Balia,560000
299,216,Tanja Balia,1050000
300,70,Tanja Balia,560000
301,98,Mghogha,558600
302,216,Tanja Balia,1050000
303,70,Tanja Balia,560000
304,4093,Mesnana,18418500
305,1200,Jbel Kbir,5400000
306,70,Tanja Balia,560000
307,216,Tanja Balia,1050000
308,70,Tanja Balia,560000
309,216,Tanja Balia,1050000
310,340,Masnana,4420000
311,70,Tanja Balia,560000
312,70,Tanja Balia,560000
313,70,Tanja Balia,560000
314,216,Tanja Balia,1050000
315,70,Tanja Balia,560000
316,216,Tanja Balia,1050000
317,70,Tanja Balia,560000
318,216,Tanja Balia,1050000
319,70,Tanja Balia,560000
320,70,Tanja Balia,560000
321,216,Tanja Balia,1050000
322,70,Tanja Balia,560000
323,216,Tanja Balia,1050000
324,70,Tanja Balia,560000
325,70,Tanja Balia,560000
326,100,Tanja Balia,700000
327,70,Tanja Balia,560000
328,216,Tanja Balia,1050000
329,70,Tanja Balia,560000
330,70,Tanja Balia,546000
331,216,Tanja Balia,1050000
332,70,Tanja Balia,546000
333,216,Tanja Balia,1050000
334,70,Tanja Balia,546000
335,70,Tanja Balia,546000
336,216,Tanja Balia,1050000
337,70,Tanja Balia,546000
338,1216,Rmilat,3040000
339,93,Jirrari,1116000
340,108,Achakar,939600
341,100,Ahlane,250000
342,70,Tanja Balia,546000
343,216,Tanja Balia,1050000
344,70,Tanja Balia,546000
345,216,Tanja Balia,1050000
346,70,Tanja Balia,546000
347,216,Tanja Balia,1050000
348,70,Tanja Balia,546000
349,216,Tanja Balia,1050000
350,216,Tanja Balia,1050000
351,70,Tanja Balia,546000
352,216,Tanja Balia,1050000
353,70,Tanja Balia,546000
354,216,Tanja Balia,1050000
355,70,Tanja Balia,546000
