,Surface,Address,Price
964,70,Tanja Balia,546000
965,216,Tanja Balia,1050000
966,500,Centre ville,8500000
967,90,Benkirane,900
968,70,Tanja Balia,546000
969,70,Tanja Balia,546000
970,216,Tanja Balia,1050000
971,615,M'nar,922500
972,70,Tanja Balia,546000
973,216,Tanja Balia,1050000
974,216,Tanja Balia,1050000
975,216,Tanja Balia,1050000
976,70,Tanja Balia,546000
977,216,Tanja Balia,1050000
978,100,Masnana,1000000
979,70,Tanja Balia,546000
980,70,Tanja Balia,546000
981,216,Tanja Balia,1050000
982,84,Tanja Balia,170000
983,1200,Mghogha,7200000
984,70,Tanja Balia,546000
985,216,Tanja Balia,1050000
986,300,Tanja Balia,380000
987,70,Tanja Balia,546000
988,76,Mghogha,912000
989,216,Tanja Balia,1050000
990,216,Tanja Balia,1050000
991,1200,M'nar,2400000
992,216,Tanja Balia,1050000
993,216,Tanja Balia,1050000
994,70,Tanja Balia,546000
995,216,Tanja Balia,1050000
996,7800,Tanja Balia,546000
997,20000,Achakar,25000000
998,70,Tanja Balia,525000
999,216,Tanja Balia,1050000
1000,216,Tanja Balia,1050000
1001,35000,Mghogha,4200000
1002,216,Tanja Balia,1050000
1003,290,Ahlane,1450000
1004,70,Tanja Balia,525000
1005,216,Tanja Balia,1050000
1006,280,Ahlane,1120000
1007,216,Tanja Balia,1050000
1008,216,Tanja Balia,1050000
1009,216,Tanja Balia,1050000
1010,70,Malabata,290000
1011,216,Tanja Balia,1050000
1012,216,Tanja Balia,1050000
1013,216,Tanja Balia,1050000
1014,63,Centre ville,157500
1015,1500,M'nar,1050000
1016,106,M'nar,150000
1017,85,Tanja Balia,790000
1018,216,Mesnana,1050000
1019,216,Tanja Balia,1050000
1020,216,Tanja Balia,1050000
1021,216,Tanja Balia,1050000
1022,1135,Centre ville,11009500
1023,216,Tanja Balia,1050000
1024,216,Tanja Balia,1050000
1025,216,Tanja Balia,1050000
1026,107,Tanja Balia,1177000
1027,216,Tanja Balia,1050000
1028,216,Tanja Balia,1050000
1029,216,Tanja Balia,1050000
1030,216,Tanja Balia,1050000
1031,216,Tanja Balia,1050000
1032,216,Tanja Balia,1050000
1033,216,Tanja Balia,1050000
1034,70,Tanja Balia,546000
1035,216,Tanja Balia,1080000
1036,216,Tanja Balia,1050000
1037,1200,Achakar,2700000
1038,70,Tanja Balia,546000
1039,5000,Tanja Balia,25000000
1040,80,Tanja Balia,160000
1041,216,Tanja Balia,1050000
1042,216,Tanja Balia,1050000
1043,216,Tanja Balia,1050000
1044,216,Tanja Balia,1050000
1045,216,Tanja Balia,1080000
1046,216,Tanja Balia,1080000
1047,70,Tanja Balia,546000
1048,65,Malabata,162500
1049,70,Tanja Balia,560000
1050,110,Mghogha,380000
1051,216,Tanja Balia,1080000
1052,216,Tanja Balia,1080000
1053,122,Tanja Balia,1830000
1054,98,Mesnana,102000
1055,96,Tanja Balia,892800
1056,93,Jirrari,1116000
1057,77,Mghogha,346500
1058,70,Tanja Balia,560000
1059,70,Tanja Balia,546000
1060,450,Ahlane,7425000
1061,122,Tanja Balia,1830000
1062,70,Tanja Balia,525000
1063,1000,Malabata,1500000
1064,70,Tanja Balia,525000
1065,110,Casabarata,1320000
1066,40000,Tanja Balia,20000000
1067,60,Mghogha,150000
1068,200,M'nar,1300000
1069,70,Tanja Balia,560000
1070,107,Tanja Balia,1498000
1071,525000,Tanja Balia,525000
1072,70,Tanja Balia,799999
1073,60,Mghogha,210000
1074,70,Tanja Balia,525000
1075,537,M'nar,8055000
1076,60,Achakar,90000
1077,154,Jirrari,249999
1078,100,Tanja Balia,830000
1079,100,Tanja Balia,150000
1080,70,Tanja Balia,560000
1081,70,Tanja Balia,525000
1082,3500,M'nar,4200000
1083,70,Tanja Balia,525000
1084,4827,Malabata,5500000
1085,70,Tanja Balia,560000
1086,100,Tanja Balia,600000
1087,84,Tanja Balia,672000
1088,70,Tanja Balia,525000
1089,570,Centre ville,22000
1090,400,Achakar,480000
1091,1000,Centre ville,600000
1092,12970,Achakar,25940000
1093,370,Masnana,2294000
1094,6000,Malabata,4800000
1095,211,Achakar,611900
1096,150,Masnana,1800000
1097,80,M'nar,130000
1098,100,Ahlane,1150000
1099,300,Malabata,800000
1100,836,Mesnana,3350000
1101,500,Malabata,3400000
1102,91,Mghogha,677950
1103,175,Achakar,550000
1104,100,Ahlane,1150000
1105,760,M'nar,1250000
1106,148,Tanja Balia,1184000
1107,350,M'nar,700000
1108,90,M'nar,180000
1109,200,Malabata,1400000
1110,20500,Achakar,18450000
1111,1030,Jbel Kbir,5665000
1112,100,Tanja Balia,850000
1113,500,Achakar,100000
1114,50,Mghogha,135000
1115,307,Malabata,3561200
1116,1500,Achakar,150000
1117,120,Ahlane,1320000
1118,230,M'nar,1656000
1119,146,Branes,1752000
1120,84,M'nar,160000
1121,105,Tanja Balia,787500
1122,166,Branes,1740000
1123,1000,Malabata,800000
1124,70,Mghogha,161000
1125,145,M'nar,225000
1126,280,Centre ville,3500000
1127,210,Tanja Balia,378000
1128,89,Ahlane,1100000
1129,248,Achakar,1984000
1130,1000,Castilla,900000
1131,146,Branes,1752000
1132,100,Ahlane,750000
1133,1348,M'nar,3370000
1134,85,Mesnana,510000
